A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,CLASSES
f,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,venenoso
x,s,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,comestivel
f,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,venenoso
x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,venenoso
x,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,venenoso
f,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,comestivel
x,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,venenoso
f,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,comestivel
x,s,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,venenoso
f,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d,venenoso
x,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,venenoso
x,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,venenoso
f,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
x,s,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d,comestivel
f,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,comestivel
x,f,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,venenoso
f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,comestivel
x,s,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,venenoso
x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,venenoso
f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,comestivel
x,s,g,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
f,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,venenoso
x,f,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,comestivel
f,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
x,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g,venenoso
f,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,comestivel
x,f,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
x,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,venenoso
f,f,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,comestivel
f,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
x,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,venenoso
x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,venenoso
x,s,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d,venenoso
f,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,comestivel
x,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,comestivel
f,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,comestivel
f,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,comestivel
f,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,comestivel
x,f,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,comestivel
f,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,comestivel
x,s,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,f,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,venenoso
f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,venenoso
f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,comestivel
f,y,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,comestivel
f,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,venenoso
f,y,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,comestivel
x,f,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,comestivel
x,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,comestivel
f,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,comestivel
f,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d,venenoso
f,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,comestivel
f,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,comestivel
f,f,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
f,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
f,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
x,f,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d,venenoso
f,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
f,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,comestivel
x,s,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
x,f,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,venenoso
x,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
f,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
x,s,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,venenoso
f,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,comestivel
x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
x,f,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,venenoso
f,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,comestivel
x,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,venenoso
f,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,comestivel
x,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,comestivel
f,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,comestivel
x,f,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,comestivel
f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,venenoso
f,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,comestivel
x,s,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,venenoso
f,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,comestivel
f,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,comestivel
x,f,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
x,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g,venenoso
x,f,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
f,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,comestivel
f,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,comestivel
f,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,venenoso
x,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,venenoso
f,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
x,f,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
x,s,g,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
f,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,comestivel
x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d,venenoso
f,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,comestivel
f,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
f,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,comestivel
f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,venenoso
x,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,comestivel
x,s,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
x,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
f,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
x,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
x,s,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d,venenoso
x,f,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,comestivel
x,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
x,f,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
x,f,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,comestivel
x,s,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
x,y,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,venenoso
x,s,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,venenoso
x,s,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d,comestivel
x,s,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
x,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,comestivel
f,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,comestivel
x,s,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
x,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,comestivel
f,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,comestivel
f,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,venenoso
x,s,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,comestivel
x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,comestivel
f,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
x,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,venenoso
x,s,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,venenoso
f,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,comestivel
f,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,venenoso
f,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,comestivel
f,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d,comestivel
x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
f,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,comestivel
f,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,venenoso
f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p,venenoso
f,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
x,f,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,comestivel
x,f,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,s,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,comestivel
x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,venenoso
x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
f,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g,venenoso
x,f,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p,venenoso
x,f,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,comestivel
f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d,comestivel
x,f,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
x,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,comestivel
x,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
f,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
x,f,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,comestivel
x,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,venenoso
f,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,comestivel
f,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,comestivel
x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,s,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
f,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
x,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,comestivel
f,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,venenoso
x,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,comestivel
f,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,comestivel
x,f,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,venenoso
f,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d,comestivel
x,s,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,venenoso
x,f,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,venenoso
f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
f,f,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,comestivel
f,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,venenoso
f,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,venenoso
f,f,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,venenoso
f,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,comestivel
f,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,comestivel
f,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d,comestivel
x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,venenoso
f,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,comestivel
x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,comestivel
f,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,comestivel
x,f,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,venenoso
f,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,comestivel
f,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,comestivel
f,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,comestivel
x,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,comestivel
f,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g,venenoso
x,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,comestivel
x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,venenoso
